cntry;vote_party;vote_pop_1;vote_pop_2
AT;3;3;3
AT;8;0;0
AT;5;0;0
AT;6;0;0
AT;7;0;0
AT;9;0;0
AT;2;0;0
AT;4;0;0
AT;1;0;0
BE;2;0;0
BE;9;0;0
BE;16;0;0
BE;10;0;0
BE;11;0;0
BE;1;0;0
BE;4;0;0
BE;12;0;0
BE;3;0;0
BE;8;0;0
BE;15;3;3
BE;13;0;0
BE;14;0;0
BE;6;0;0
BE;5;0;0
BE;7;3;3
BG;2;0;0
BG;4;0;0
BG;1;2;2
BG;10;0;0
BG;7;0;0
BG;9;0;0
BG;3;3;3
BG;8;0;0
BG;6;0;0
BG;5;3;3
BG;11;0;0
HR;1;0;0
HR;7;0;0
HR;6;0;0
HR;9;0;0
HR;5;0;0
HR;4;2;2
HR;3;2;2
HR;2;0;0
HR;8;0;0
CY;7;1;1
CY;2;0;0
CY;3;0;0
CY;4;0;0
CY;1;0;0
CY;8;0;0
CY;5;0;0
CY;6;0;0
CZ;4;2;2
CZ;7;0;0
CZ;2;0;0
CZ;6;0;0
CZ;1;0;0
CZ;5;0;0
CZ;9;0;0
CZ;8;3;3
CZ;3;0;0
DK;10;0;0
DK;5;3;3
DK;3;0;0
DK;2;0;0
DK;9;0;0
DK;6;0;0
DK;8;0;0
DK;4;0;0
DK;1;0;0
DK;7;0;0
EE;9;0;0
EE;2;0;0
EE;6;3;3
EE;1;0;0
EE;11;0;0
EE;5;0;0
EE;3;0;0
EE;12;0;0
EE;4;0;0
EE;10;0;0
FI;5;0;0
FI;13;0;0
FI;9;0;0
FI;6;0;0
FI;10;0;0
FI;8;0;0
FI;12;0;0
FI;7;0;0
FI;11;0;0
FI;3;0;0
FI;14;0;0
FI;1;0;0
FI;2;0;0
FI;4;3;3
FI;15;0;0
FR;10;3;3
FR;6;0;0
FR;4;1;1
FR;11;3;3
FR;1;0;0
FR;9;0;0
FR;7;0;0
FR;8;0;0
FR;2;0;0
FR;3;0;0
FR;5;0;0
DE;4;0;0
DE;6;3;3
DE;1;0;0
DE;5;0;0
DE;8;0;0
DE;7;0;0
DE;2;0;0
DE;3;1;1
HU;1;0;0
HU;2;0;0
HU;3;3;3
HU;4;3;3
HU;5;0;0
HU;6;0;0
HU;11;0;0
HU;9;0;0
HU;7;0;0
HU;8;0;0
HU;10;0;0
IS;10;0;0
IS;5;0;0
IS;9;0;0
IS;13;0;3
IS;2;0;0
IS;12;0;0
IS;14;0;0
IS;8;0;3
IS;6;0;0
IS;4;0;0
IS;1;0;0
IS;7;0;0
IS;3;0;0
IE;1;0;0
IE;2;0;0
IE;3;0;0
IE;4;0;0
IE;5;0;0
IE;6;0;0
IE;7;1;1
IE;8;0;0
IE;9;0;0
IT;2;0;0
IT;14;0;0
IT;13;0;0
IT;4;0;0
IT;8;3;3
IT;10;3;3
IT;3;0;0
IT;9;3;3
IT;6;0;0
IT;7;2;2
IT;11;0;0
IT;1;0;0
IT;12;0;0
IT;5;0;0
LV;10;0;0
LV;2;0;0
LV;13;0;0
LV;12;0;0
LV;6;0;0
LV;1;0;0
LV;11;0;0
LV;7;0;0
LV;4;0;0
LV;8;0;0
LV;14;0;0
LV;15;0;3
LV;5;0;0
LV;3;0;0
LV;9;0;0
LV;16;0;0
LT;14;2;2
LT;4;0;0
LT;11;0;0
LT;2;0;0
LT;8;0;0
LT;7;0;0
LT;3;0;0
LT;12;0;0
LT;6;0;0
LT;10;0;0
LT;1;0;0
LT;5;3;3
LT;13;0;0
LT;9;0;0
ME;1;0;0
ME;3;0;0
ME;8;0;0
ME;4;0;0
ME;15;0;0
ME;14;0;0
ME;13;0;0
ME;6;0;0
ME;7;0;0
ME;12;0;0
ME;18;0;0
ME;5;0;0
ME;2;0;0
ME;16;0;0
ME;10;0;0
ME;11;0;0
ME;17;0;0
ME;9;0;0
NL;11;0;0
NL;14;0;0
NL;5;0;0
NL;7;0;0
NL;6;0;0
NL;12;0;0
NL;13;3;3
NL;8;0;0
NL;2;0;0
NL;3;3;3
NL;10;0;0
NL;1;0;0
NL;9;0;0
NL;4;0;1
NO;3;0;0
NO;8;3;3
NO;7;0;0
NO;5;0;0
NO;9;0;0
NO;10;0;0
NO;1;0;0
NO;6;0;0
NO;2;0;0
NO;4;0;0
PL;1;0;0
PL;2;3;3
PL;3;0;0
PL;4;0;0
PL;5;0;0
PL;6;3;3
PL;7;0;0
PL;8;0;0
PT;2;0;0
PT;4;0;0
PT;5;0;0
PT;9;0;0
PT;6;0;0
PT;15;0;0
PT;3;0;0
PT;8;0;0
PT;10;0;0
PT;11;0;0
PT;16;0;0
PT;12;0;0
PT;7;0;0
PT;13;0;0
PT;1;0;0
PT;14;0;0
RS;1;3;3
RS;2;0;0
RS;3;0;0
RS;4;0;0
RS;5;3;3
RS;6;0;0
RS;7;0;0
RS;8;0;0
RS;9;0;0
RS;10;0;0
RS;11;0;0
RS;12;0;0
SK;5;0;0
SK;4;0;0
SK;1;2;2
SK;7;0;0
SK;6;0;0
SK;2;3;3
SK;8;3;3
SK;3;0;0
SI;1;0;0
SI;2;1;1
SI;3;2;2
SI;4;0;0
SI;5;0;0
SI;7;0;0
SI;6;0;0
SI;8;3;3
SI;9;0;0
SI;10;0;0
SI;11;3;3
ES;1;0;0
ES;2;0;0
ES;3;1;1
ES;4;1;1
ES;5;0;0
ES;6;0;0
ES;7;1;1
ES;8;0;0
ES;9;0;0
ES;10;0;0
ES;11;0;0
ES;12;0;0
ES;13;0;0
ES;14;0;0
ES;15;0;0
ES;16;3;3
ES;17;0;0
ES;18;0;0
ES;19;0;0
ES;20;0;0
SE;1;0;0
SE;8;0;0
SE;2;0;0
SE;3;0;0
SE;4;0;0
SE;5;0;0
SE;10;0;0
SE;6;0;0
SE;9;3;3
SE;7;0;0
CH;13;0;0
CH;4;0;0
CH;7;0;0
CH;8;0;0
CH;3;0;0
CH;9;0;3
CH;6;0;0
CH;5;0;0
CH;12;3;3
CH;14;0;0
CH;2;0;0
CH;11;0;0
CH;1;3;3
CH;10;3;3
GB;13;0;0
GB;1;0;0
GB;10;0;0
GB;6;0;0
GB;15;0;0
GB;16;0;0
GB;2;0;0
GB;3;0;0
GB;8;0;0
GB;17;0;0
GB;5;0;0
GB;18;0;0
GB;4;0;0
GB;11;0;0
GB;12;0;0
GB;14;0;0
GB;7;3;3
GB;9;0;0
